,genre,count
895,Bosnia and Hercegovina,1
896,Apostrophe,1
897,Outer space,1
898,Hand-to-hand fighting,1
899,Mars (Planet),1
900,Dungeons and Dragons (Game),1
901,"Nursery rhymes, Danish.",1
902,"Science fiction, English",1
903,Commonplace-books.,1
904,"La Coruna, Battle of, La Coruna, Spain, 1809",1
905,Latin American fiction,1
906,"""Caractères d'imprimerie - Pays-Bas - Histoire""",1
907,Extinct languages,1
908,Bakeries,1
909,Boredom,1
910,Arnheim,1
911,Bahrain,1
912,Algonquian Indians,1
913,Citation of legal authorities,1
914,"Corbett, Hugh (Fictitious character)",1
915,Fighter pilots,1
916,Performing arts,1
917,Confucianism,1
918,"Yoga, Rāja",1
919,Easter stories,1
920,Grocery trade,1
921,Electoral college,1
922,Coming out (Sexual orientation),1
923,Cooking (Frozen foods),1
924,"Bir Hakeim, Battle of, 1942",1
925,Computer science,1
926,"Berlin Wall, Berlin, Germany, 1961-1989",1
927,"Automobiles, Racing",1
928,Bicycle touring,1
929,Witches,1
930,Legislators,1
931,Horsemanship.,1
932,Contemplation,1
933,Provence (France),1
934,Communication,1
935,Fantasy in art,1
936,Television,1
937,Aged men,1
938,Animal experimentation,1
939,Africans,1
940,Self-esteem,1
941,Advertising agencies,1
942,Healing,1
943,Poland,1
944,Saint (Fictitious character),1
945,Memory,1
946,Attitude change,1
947,Submarines (Ships),1
948,Colonists,1
949,Knitting,1
950,Mythology,1
951,Admirals,1
952,South Africa,1
953,End of the world.,1
954,Romanies.,1
955,Ho Chi Minh City (Vietnam),1
956,Buddhist art and symbolism,1
957,Erotic literature,1
958,Problem solving,1
959,"Beck, Martin (Fictitious character)",1
960,Governesses in literature,1
961,Computer interfaces,1
962,Aristophanes,1
963,Bankers,1
964,"Authors, German",1
965,"Crystallization, Water of",1
966,Mothers,1
967,"Civilization, Islamic",1
968,"Civilization, Ancient",1
969,Athens (Greece),1
970,Folk medicine,1
971,Deserts,1
972,Novela francesa,1
973,Cairo (Egypt),1
974,Alfie (Fictitious character : Hughes),1
975,Irritable colon,1
976,Down syndrome,1
977,Mules,1
978,Collie,1
979,Dieu - Amour,1
980,Astral projection,1
981,Hoodlums,1
982,Bible and evolution,1
983,"Napoleonic Wars, 1800-1815",1
984,"Epic poetry, Greek",1
985,Beavers,1
986,Cost,1
987,Success,1
988,African American boys,1
989,Akenfield (England),1
990,Chinese fiction,1
991,Balkan Peninsula,1
992,"Fantasy literature, English",1
993,Philosophers,1
994,"Economic assistance, Domestic",1
995,Despair,1
996,"Science fiction, Belgian (French)",1
997,Plot-your-own stories.,1
998,Turning (Lathe work),1
999,Physical fitness,1
1000,"Creation (Literary, artistic, etc.)",1
1001,Political fiction,1
1002,Aberystwyth (Wales),1
1003,Batman (Comic strip),1
1004,Cookies,1
1005,African American comedians,1
1006,Assertiveness (Psychology),1
1007,Cheyenne Indians,1
1008,"Bond, James (Fictitious character)",1
1009,"Medicine, Popular.",1
1010,COMICS & GRAPHIC NOVELS.,1
1011,Conflict of generations,1
1012,Enlightenment (Buddhism),1
1013,"Body, Human",1
1014,Spy stories,1
1015,Glass painting and staining,1
1016,Literature and science,1
1017,Child care,1
1018,College department heads,1
1019,"""Autochtones - Canada - Relations avec l'État""",1
1020,Apologetics,1
1021,Andes,1
1022,Nurses,1
1023,Hotels,1
1024,Amusement parks,1
1025,Drowning,1
1026,"Authors, Italian",1
1027,"Photography, Erotic",1
1028,Courtship,1
1029,"Erotic stories, Australian",1
1030,"Actors and actresses, American",1
1031,Angola,1
1032,Coroners,1
1033,Czech Americans,1
1034,Art patronage,1
1035,Performance.,1
1036,Divorced people,1
1037,Sales personnel,1
1038,"Theology, Doctrinal",1
1039,Anger,1
1040,Milan (Italy),1
1041,"Love stories, American",1
1042,Argonauts (Greek mythology),1
1043,Home-based businesses,1
1044,Electronic data processing,1
1045,Bookstores,1
1046,"Israel-Arab War, 1973.",1
1047,"Adventure stories, English",1
1048,"Christian literature, Early",1
1049,Scientists,1
1050,Children and war,1
1051,Playboy,1
1052,Language acquisition,1
1053,Aristocracy (Social class),1
1054,Hindu sects,1
1055,"Historical drama, English",1
1056,Book jackets,1
1057,Self-realization,1
1058,"""Father's Day - Children Fiction""",1
1059,Diaries,1
1060,Cabala,1
1061,Contes de fées,1
1062,Anthony (Fictitious character : Alexander),1
1063,Anti-apartheid movements,1
1064,Occultism.,1
1065,Operation Mincemeat,1
1066,Health,1
1067,Depression in adolescence,1
1068,Albemarle Sound (N.C.),1
1069,Architect-designed houses,1
1070,Koi,1
1071,"Short stories, American",1
1072,Artisans,1
1073,Caribbean Area,1
1074,CD-ROMs,1
1075,"Africa, Sub-Saharan",1
1076,"Liturgies, Early Christian",1
1077,Civil rights,1
1078,Theology,1
1079,Portuguese language,1
1080,Motion picture producers and directors,1
1081,Forests and forestry,1
1082,Creationism,1
1083,Human ecology,1
1084,African American entertainers,1
1085,Basket making.,1
1086,Canadian Rockies (B.C. and Alta.),1
1087,Flowers in art.,1
1088,High school teachers,1
1089,Culture,1
1090,Baader Meinhoff Complex (Motion picture),1
1091,Bukhoro,1
1092,Electricity,1
1093,Dolphins,1
1094,Human behavior,1
1095,Bureaucracy,1
1096,Crossword puzzles,1
1097,Cinderella (Legendary character),1
1098,Almanacs,1
1099,Anansi (Legendary character),1
1100,Evolution (Biology),1
1101,Slavery,1
1102,Programmed instruction,1
1103,Birdsongs,1
1104,"Chee, Jim (Fictional character)",1
1105,Black holes (Astronomy),1
1106,Men,1
1107,Literary recreations.,1
1108,Usonian houses,1
1109,Antiques,1
1110,"Folk songs, English",1
1111,Clans,1
1112,Ants,1
1113,Cat owners,1
1114,Algorithms,1
1115,Creation,1
1116,Ethnology,1
1117,High interest-low vocabulary books,1
1118,Civil war,1
1119,Change,1
1120,Identity (Psychology),1
1121,Big books,1
1122,Suvarrow Islands,1
1123,"History, Modern",1
1124,"11030 - fiction in English - p1030 - Greene, Graham - 60030 - biographies",1
1125,"Women authors, Irish",1
1126,Asia,1
1127,ACT Assessment,1
1128,Parasols,1
1129,"Epic Poetry, Greek",1
1130,Gobi Desert (Mongolia and China),1
1131,Comanche Indians,1
1132,Feng shui,1
1133,11030 - fiction in English - p1030 - New Zealand writers - 1907- - 60030 - texts,1
1134,"BP Deepwater Horizon Explosion and Oil Spill, 2010",1
1135,Faith,1
1136,Fantasy football (Game),1
1137,Burma,1
1138,Gynecologists,1
1139,Atheletes,1
1140,Mongolia,1
1141,Sea monsters,1
1142,Bodybuilders,1
1143,Nonsense verses,1
1144,New South Wales,1
1145,Charity-schools,1
1146,Spice trade,1
1147,Genetic engineering,1
1148,Cartoonists,1
1149,Cork (Ireland : Co,1
1150,African-American soldiers,1
1151,Shepherds,1
1152,Mr. Men (Fictitious characters),1
1153,Criminals,1
1154,"EARP, WYATT",1
1155,Arson,1
1156,Computational linguistics,1
1157,Real estate investment,1
1158,Wales,1
1159,Perception,1
1160,Domestic education,1
1161,Emigration and immigration,1
1162,"Classification, Decimal",1
1163,Arithmetic,1
1164,Voyages around the world,1
1165,Art and mental illness,1
1166,Great books of the Western world,1
1167,Investments,1
1168,Computer industry,1
1169,Sierra Nevada (Calif. and Nev.),1
1170,Astronautics in art,1
1171,"Africa, Southern",1
1172,Creoles,1
1173,Espionage,1
1174,Devotional literature,1
1175,Calcutta (India),1
1176,"Cereals, Prepared",1
1177,Acupuncture,1
1178,Arab nationalism,1
1179,Edible landscaping,1
1180,Animal welfare,1
1181,Amur River (Siberia),1
1182,Governesses,1
1183,Flower arrangement,1
1184,"Africa, North",1
1185,Beaches,1
1186,Colorado,1
1187,Aardvark,1
1188,Bobbsey Twins (Fictitious characters),1
1189,Color decoration and ornament,1
1190,Costume design,1
1191,"Philosophy, Taoist",1
1192,Coronary heart disease,1
1193,Atrocities,1
1194,Feminism,1
1195,"Cililization, Homeric",1
1196,Internet,1
1197,"Generative organs, Female",1
1198,Personality,1
1199,Office practice,1
1200,Authors and publishers,1
1201,Bicycles,1
1202,Dance,1
1203,"Economic assistance, American",1
1204,Encyclopaedia,1
1205,Statistical mechanics,1
1206,Alienation (Philosophy),1
1207,Blind,1
1208,"Poets, American",1
1209,Reading,1
1210,Banks and banking,1
1211,Apennines (Italy),1
1212,Celtic Church,1
1213,Motion picture plays,1
1214,"Short stories, Canadian",1
1215,"""Children's literature, English""",1
1216,Interpersonal conflict,1
1217,Conservationists,1
1218,Human reproduction,1
1219,"Decoration and ornament, Architectural",1
1220,Commercial crimes,1
1221,Dystopian plays,1
1222,Earthsea (Imaginary place),1
1223,Canadian drama (French),1
1224,Rock groups,1
1225,Brewing,1
1226,Italy,1
1227,Hamptons (N.Y.),1
1228,Cryptography,1
1229,"Constantine, John (Fictitious character)",1
1230,Bangkok (Thailand),1
1231,Appliqué,1
1232,Alcoholism,1
1233,Free trade,1
1234,Quakers,1
1235,Marine pollution,1
1236,Crystals,1
1237,Abortion,1
1238,Women physicians,1
1239,Allegories,1
1240,Imperialism,1
1241,Rīga (Latvia),1
1242,African fiction (English),1
1243,Cocaine industry,1
1244,Generative grammar,1
1245,Biology,1
1246,Railroad travel,1
1247,Bridges,1
1248,"Back Bay (Boston, Mass.)",1
1249,Conformity,1
1250,"Brooklyn (New York, N.Y.)",1
1251,Misconduct in office,1
1252,Foster home care,1
1253,Brass instrument players,1
1254,African American,1
1255,"Authors, Australian",1
1256,Canadian literature,1
1257,Salvation,1
1258,Anarchism,1
1259,"""Lord's prayer""",1
1260,Fort Lauderdale (Fla.),1
1261,"Ciszek, Walter J.",1
1262,Hymn writers,1
1263,Burgundy (France),1
1264,"Cooking, Creole",1
1265,Aliens,1
1266,Pigeons,1
1267,Decision making,1
1268,Afghanistan,1
1269,Labor Day,1
1270,PHOTOGRAPHY,1
1271,"Mythology, Celtic",1
1272,African American criminals,1
1273,"Dramatists, English",1
1274,Judges,1
1275,Change (Psychology),1
1276,Embroidery,1
1277,Chemotaxonomy,1
1278,Badgers,1
1279,Amnesia,1
1280,Hell,1
1281,Grandmothers,1
1282,Calaveras County (Calif.),1
1283,Indonesia,1
1284,Juvenile science fiction,1
1285,Automobile travel / United States,1
1286,Horse breeds,1
1287,Teachers,1
1288,Photography of wolves.,1
1289,Career changes,1
1290,Eastern Pomo language,1
1291,Horsemanship,1
1292,Crystal optics,1
1293,Marijuana,1
1294,Siskiyou Mountains (Calif. and Or.),1
1295,Christian ethics,1
1296,Pentecostalism,1
1297,American poetry.,1
1298,Dee Jen-Djieh (Fictitious character),1
1299,"Aeronautics, Military",1
1300,"Monk, William (Fictitious character)",1
1301,Church group work,1
1302,"Ghost stories, American",1
1303,Church and state,1
1304,ABAP/4 (Computer program language),1
1305,Child sexual abuse,1
1306,Historiography.,1
1307,Adirondack Mountains (N.Y.),1
1308,Accelerated readers,1
1309,Siberia (Russia),1
1310,Contentment,1
1311,Stories in rhyme,1
1312,Dakota Territory,1
1313,Functions of real variables,1
1314,Jazz musicians,1
1315,Consumption (Economics),1
1316,Hallucinogenic drugs,1
1317,Intellectuals,1
1318,Japanese language,1
1319,Needlework,1
1320,Animal sounds,1
1321,Job hunting,1
1322,Christian women saints,1
1323,Russian poetry,1
1324,Cleanliness,1
1325,Submarine captains,1
1326,Paranormal romance stories,1
1327,Campaign debates,1
1328,Canberra (A.C.T.),1
1329,Law students,1
1330,Botany,1
1331,Spanish poetry,1
1332,African American children,1
1333,"""Alzheimer's disease""",1
1334,Chinese Americans,1
1335,Accidents,1
1336,Carols,1
1337,Recreational vehicle living,1
1338,Academic achievement,1
1339,Aztec magic,1
1340,Automobiles,1
1341,Feminism and art,1
1342,"""Children's plays, New Zealand""",1
1343,Massachusetts,1
1344,Auschwitz (Poland : Concentration camp),1
1345,Bachelors,1
1346,Race relations,1
1347,Animal communication,1
1348,Public prosecutors,1
1349,Counted thread embroidery,1
1350,Rice wines,1
1351,Anecdotes,1
1352,"Atlanta Campaign, 1864.",1
1353,Large type books.,1
1354,"""Abu Ageila, Battle of, Abu 'Ujaylah, Egypt, 1956""",1
1355,Cartoons and comics.,1
1356,"""Children's stories, Australian""",1
1357,Clouds,1
1358,Connecticut,1
1359,German Americans,1
1360,Boston (Mass.),1
1361,Sexual fantasies,1
1362,"Chernobyl Nuclear Accident, Chornobylʹ, Ukraine, 1986",1
1363,Circus owners,1
1364,Historical geography,1
1365,"Crusoe, Robinson (Fictitious character)",1
1366,African American authors,1
1367,Cooking (Herbs),1
1368,Wine and wine making,1
1369,Sharing,1
1370,"Fantasy comic books, strips, etc",1
1371,Fathers,1
1372,Shopping centers,1
1373,Abused women,1
1374,Samoan fiction,1
1375,Chile,1
1376,Anorexia nervosa,1
1377,Aphrodisiacs,1
1378,"Broach, Bauchelain (Fictitious character)",1
1379,Leadership,1
1380,Aging,1
1381,"Franco-Prussian War, 1870-1871",1
1382,Beauty contests,1
1383,Illegitimacy,1
1384,Youth,1
1385,Economic policy,1
1386,Mathematical recreations,1
1387,Rug and carpet industry,1
1388,"Mythology, Norse",1
1389,Labor movement,1
1390,"Brown, Charlie (Fictitious character)",1
1391,Abenaki Indians,1
1392,"""Distinctive features (Linguistic's)""",1
1393,Cincinnati (Ohio),1
1394,"Africa, Central",1
1395,"Pelée, Mount (Martinique)",1
1396,Adoptees,1
1397,Machine sewing,1
1398,Family secrets,1
1399,Hatha yoga.,1
1400,LAW,1
1401,Gestalt psychology,1
1402,Vegetarian cooking,1
1403,Social problems,1
1404,Erotica,1
1405,Amphibians,1
1406,Athletes,1
1407,Character dolls,1
1408,Impressionism (Art),1
1409,"Espionage, Soviet",1
1410,Epidemics,1
1411,"Bradley, Beatrice Lestrange (Fictitious character)",1
1412,Advertising photography,1
1413,Readers (Adult),1
1414,Hairdressing,1
1415,Erotic painting,1
1416,Prophecies (Occultism),1
1417,"""Children's stories, Finnish""",1
1418,Detective and mystery radio programs,1
1419,Furniture design,1
1420,Organic gardening,1
1421,"Art, Tantric",1
1422,Community organization,1
1423,Actors & Acting,1
1424,Deaf,1
1425,"Civilization, Western",1
1426,"Brown, Father (Fictitious character)",1
1427,Group reading,1
1428,Ghostwriters,1
1429,Kidnapping,1
1430,Gay liberation movement,1
1431,"Greek poetry, Modern",1
1432,Congresses and conventions,1
1433,Belgrade (Serbia),1
1434,Extortion,1
1435,Ethics,1
1436,"""Children's stories.""",1
1437,"Authors, Japanese",1
1438,Romantic suspense fiction,1
1439,North Carolina,1
1440,Boeing 377 (Transport plane),1
1441,Clubs,1
1442,Days,1
1443,Campaign,1
1444,"Diplomatic and consular service, American",1
1445,Fortune-telling by cards,1
1446,Human-animal communication,1
1447,Rhetoric,1
1448,Riviera (France),1
1449,"New Market, Battle of, New Market, Va., 1864",1
1450,Shipwreck survival,1
1451,Football,1
1452,Black humor (Literature),1
1453,Kauai (Hawaii),1
1454,Attitude (Psychology),1
1455,Existentialism,1
1456,Musical instruments,1
1457,Wolves,1
1458,Anti-Communist movements,1
1459,Military art and science,1
1460,Coal mine accidents,1
1461,"""Children's plays, American""",1
1462,English,1
1463,"Culloden, Battle of, 1746",1
1464,Devotional calendars,1
1465,Electric industries,1
1466,Shells,1
1467,Alberta,1
1468,Scientology,1
1469,Beef,1
1470,Radicalism,1
1471,Coal miners,1
1472,Eugenics,1
1473,Torture,1
1474,Arizona,1
1475,Poetics,1
1476,Bars (Drinking establishments),1
1477,Fame,1
1478,Critical thinking,1
1479,Picts,1
1480,Mexico,1
1481,"Political satire, American",1
1482,"Education, Preschool",1
1483,Veterinary medicine,1
1484,Grapes,1
1485,Gifted persons,1
1486,Coast changes,1
1487,Hand weaving,1
1488,Alloys.,1
1489,Indians,1
1490,Bear cubs,1
1491,Schools,1
1492,Body weight,1
1493,"Calrissian, Lando (Fictitious character)",1
1494,Boxers (Sports),1
1495,Sharks,1
1496,Dangerously mentally ill,1
1497,Arranged marriage,1
1498,Go (Game),1
1499,Justice,1
1500,"Art, Modern",1
1501,Icelandic language,1
1502,Airplanes,1
1503,Endowed public schools (Great Britain),1
1504,Political psychology,1
1505,Toys,1
1506,Islands,1
1507,Herbals,1
1508,Alchemists,1
1509,Sandman (Fictitious character),1
1510,Beauty and the beast (Tale),1
1511,Caterers and catering,1
1512,FOREIGN LANGUAGE STUDY,1
1513,Service industries,1
1514,Animated films,1
1515,Calypso (Music),1
1516,Bowed stringed instruments,1
1517,Sports cars,1
1518,Calendars,1
1519,Germany (West),1
1520,Avocado,1
1521,"Civilization, Viking",1
1522,Children of celebrities,1
1523,Extradition,1
1524,Toy and movable books,1
1525,Database management,1
1526,"Baggins, Bilbo (Fictitious character)",1
1527,Enemies,1
1528,Bee culture,1
1529,Chronic diseases,1
1530,Speech,1
1531,"Cooking, American.",1
1532,Spiritual life,1
1533,Bondage (Sexual behavior),1
1534,Journalism,1
1535,"Crimean War, 1853-1856",1
1536,Debt,1
1537,"Cooking, French",1
1538,Gorilla,1
1539,Hindu mathematics,1
1540,"Cookery, American.",1
1541,"Philosophy, Russian",1
1542,Balto (Dog),1
1543,African American civil rights workers,1
1544,Environmental psychology,1
1545,Computer input-output equipment,1
1546,Captain Underpants (Fictitious character),1
1547,Brigands and robbers,1
1548,"Short stories, English",1
1549,"Detective and mystery stories, English.",1
1550,"Cooking, Indic",1
1551,Cannes (France),1
1552,"""Children's conduct of life""",1
1553,Superman (Comic strip),1
1554,Battles,1
1555,Country music,1
1556,"Dictionaries, Reverse",1
1557,Elections,1
1558,"Allon, Gabriel (Fictitious character)",1
1559,Butterflies,1
1560,Plant propagation,1
1561,Missing persons,1
1562,Hispanic American women,1
1563,Energy conservation,1
1564,Burglars,1
1565,Graphic arts,1
1566,Holocaust survivors,1
1567,Heads of state,1
1568,Gone with the wind (Motion picture : 1939),1
1569,Gulf Islands,1
1570,Ecuador,1
1571,New Age movement,1
1572,Polynesia,1
1573,Atlases,1
1574,"""Children's stories, New Zealand""",1
1575,Feminists,1
1576,Spies,1
1577,"Cookery, European",1
1578,Auschwitz (Concentration Camp) -- History,1
1579,Chores,1
1580,Christian pilgrims and pilgrimages,1
1581,Betterments,1
1582,Beauty culture,1
1583,Auctioneers,1
1584,"Brandstetter, Dave (Fictitious character)",1
1585,Economists,1
1586,Computer security,1
1587,Fourth dimension,1
1588,"Mythology, African",1
1589,"Dictionaries, Polyglot",1
1590,"Chronology, Historical",1
1591,Job hunting.,1
1592,"Animals, Legends and stories of",1
1593,Caldecott Medal,1
1594,Abduction,1
1595,"Authors, French",1
1596,Girls,1
1597,CRAFTS & HOBBIES,1
1598,Freak shows,1
1599,Crossword puzzle makers,1
1600,Contracts,1
1601,London (England),1
1602,Married women,1
1603,Collectibles,1
1604,Castaways,1
1605,Industrial equipment in interior decoration.,1
1606,"Cenci, Beatrice",1
1607,Animal treatment,1
1608,Orphans,1
1609,Ally (Fictitious character : McCombie),1
1610,Celts,1
1611,Motherhood,1
1612,Cuentos,1
1613,"Fantastic comic books, strips, etc",1
1614,"Christian poetry, Scottish Gaelic",1
1615,Acculturation,1
1616,Deafblind women,1
1617,POLITICAL SCIENCE,1
1618,Bengali fiction,1
1619,Basketball stories,1
1620,Gay erotic stories,1
1621,Subways,1
1622,Veterinarians,1
1623,Christian education of children,1
1624,AutoCAD.,1
1625,Ethnologie,1
1626,Eccentrics and eccentricities,1
1627,"Authors, Austrian",1
1628,Engineering,1
1629,Literary recreations,1
1630,Letters,1
1631,French literature,1
1632,Political participation,1
1633,"Sufi poetry, Arabic",1
1634,Bisexual men,1
1635,Clumsiness,1
1636,Mental healing,1
1637,Spring,1
1638,Arts and crafts movement,1
1639,"Northwest, Canadian",1
1640,Factories,1
1641,Church history,1
1642,Punjab (India),1
1643,Estate planning,1
1644,Choctaw Indians,1
1645,Codependency,1
1646,Frankenstein (Fictitious character),1
1647,Emergent Reader,1
1648,Frigates,1
1649,"""Grierson's Cavalry Raid, 1863""",1
1650,Middle Ages,1
1651,LITERARY COLLECTIONS,1
1652,Evangelists,1
1653,MEDICAL,1
1654,"""Children's stories, German""",1
1655,Apprentices,1
1656,Indian craft,1
1657,Child guidance clinics,1
1658,Children of clergy,1
1659,Motion picture audiences,1
1660,Deception,1
1661,"Cookery, Italian",1
1662,"Dent, Arthur (Fictitious character)",1
1663,Frogs,1
1664,Accident victims,1
1665,"Broadway (New York, N.Y.)",1
1666,Corporate governance,1
1667,Gravity,1
1668,"Creek War, 1813-1814",1
1669,"Insanity, Religious",1
1670,Hittites,1
1671,Boatbuilding,1
1672,Colombian fiction,1
1673,Cold War,1
1674,Alternative medicine,1
1675,History of Medicine,1
1676,Compact discs,1
1677,"Cooking, Greek",1
1678,Automobile travel,1
1679,Kingdom of God (Mormon theology),1
1680,Junior high school students,1
1681,Braille books,1
1682,Civil War,1
1683,Canadian drama,1
1684,Drummers (Musicians),1
1685,Nursery rhymes,1
1686,LANGUAGE ARTS & DISCIPLINES,1
1687,Totalitarianism,1
1688,Clinical Medicine,1
1689,Delusions,1
1690,Bolívar (Colombia : Department),1
1691,CC.,1
1692,Ocean liners,1
1693,Tabla,1
1694,"""Children's literature, American.""",1
1695,Diners (Restaurants),1
1696,Pyrenees,1
1697,"Astronomy, Ancient",1
1698,Argentine fiction,1
1699,Press and politics,1
1700,Bombas (Máquinas),1
1701,Tarzan (Fictitious character),1
